Name,Address,City,State,Category,Yelp_url
Arepera Guacuco,44 Irving Ave,Brooklyn,NY,Venezuelan,http://www.yelp.com/biz/arepera-guacuco-brooklyn-2
Momofuku,171 1st Ave,New York,NY,Ramen,http://www.yelp.com/biz/momofuku-noodle-bar-new-york
Le Cirque,151 E 58th St,New York,NY,French,http://www.yelp.com/biz/le-cirque-new-york
La Mar,500 Brickell Key Dr,Miami,FL,Peruvian,http://www.yelp.com/biz/la-mar-by-gast%C3%B3n-acurio-miami
Franklin Barbecue,900 E 11th St,Austin,TX,BBQ,http://www.yelp.com/biz/franklin-barbecue-austin
Salty Sow,1917 Manor,Austin,TX,American,http://www.yelp.com/biz/salty-sow-austin
La Condesa,400 W 2nd St,Austin,TX,Mexican,http://www.yelp.com/biz/la-condesa-austin
Elizabeth Street Café,1501 S 1st St,Austin,TX,Vietnamese,http://www.yelp.com/biz/elizabeth-street-cafe-austin
Cây Tre,301 Old Street,London,UK,Vietnamese,http://www.yelp.com/biz/c%C3%A2y-tre-london-3
El Cuartito,Talcahuano 937,Buenos Aires,AG,Pizza,http://www.yelp.com/biz/el-cuartito-buenos-aires
